=== BUILD_T0 2026-09-10T06:06:33Z OLEANS_BEFORE=3608
✔ [2364/2383] Built Mathlib.Topology.Algebra.Module.Complement (11s)
✔ [2365/2384] Built Mathlib.Topology.Algebra.Module.Simple (3.5s)
✔ [2367/2384] Built Mathlib.RingTheory.RootsOfUnity.Basic (6.6s)
✔ [2368/2384] Built Mathlib.Topology.Instances.Matrix (7.0s)
✔ [2369/2386] Built Mathlib.LinearAlgebra.Dual.Lemmas (26s)
✔ [2370/2387] Built Mathlib.Analysis.Convex.Slope (7.4s)
✔ [2371/2387] Built Mathlib.Algebra.Field.NegOnePow (3.8s)
✔ [2372/2389] Built Mathlib.Algebra.Field.Periodic (4.4s)
✔ [2373/2392] Built Mathlib.Analysis.Complex.Asymptotics (5.1s)
✔ [2374/2395] Built Mathlib.LinearAlgebra.GeneralLinearGroup.AlgEquiv (5.0s)
✔ [2375/2395] Built Mathlib.Tactic.NormNum.NatFactorial (5.1s)
✔ [2376/2396] Built Mathlib.Algebra.Order.CauSeq.BigOperators (10s)
✔ [2377/2396] Built Mathlib.Tactic.NormNum.BigOperators (11s)
✔ [2378/2396] Built Mathlib.LinearAlgebra.Matrix.SpecialLinearGroup (25s)
✔ [2379/2398] Built Mathlib.Analysis.Normed.Group.Quotient (13s)
✔ [2380/2403] Built Mathlib.Topology.Order.AtTopBotIxx (19s)
✔ [2383/2403] Built Mathlib.Analysis.Complex.Exponential (14s)
✔ [2384/2407] Built Mathlib.Data.Int.SuccPred (3.9s)
✔ [2385/2408] Built Mathlib.LinearAlgebra.Matrix.GeneralLinearGroup.Defs (11s)
✔ [2386/2408] Built Mathlib.GroupTheory.QuotientGroup.ModEq (1.6s)
✔ [2387/2409] Built Mathlib.Algebra.Group.Subgroup.ZPowers.Lemmas (2.4s)
✔ [2388/2409] Built Mathlib.GroupTheory.Divisible (3.8s)
✔ [2389/2409] Built Mathlib.Algebra.CharZero.Quotient (2.9s)
✔ [2390/2411] Built Mathlib.LinearAlgebra.Matrix.ToLinearEquiv (6.9s)
✔ [2391/2413] Built Mathlib.Topology.Instances.ZMultiples (3.3s)
✔ [2392/2413] Built Mathlib.Topology.Instances.Sign (2.6s)
✔ [2393/2422] Built Mathlib.Analysis.Complex.Trigonometric (11s)
✔ [2394/2422] Built Mathlib.Algebra.Order.Ring.Interval (2.7s)
✔ [2396/2425] Built Mathlib.Tactic.Qify (2.3s)
✔ [2397/2425] Built Mathlib.Tactic.Rify (4.3s)
✔ [2398/2428] Built Mathlib.Analysis.SpecialFunctions.Exp (7.2s)
✔ [2399/2429] Built Mathlib.Data.ENNReal.Holder (3.2s)
✔ [2400/2429] Built Mathlib.LinearAlgebra.Determinant (15s)
✔ [2401/2429] Built Mathlib.Algebra.Order.ToIntervalMod (23s)
✔ [2402/2429] Built Mathlib.Analysis.SpecialFunctions.Log.Basic (9.8s)
✔ [2403/2431] Built Mathlib.Analysis.Normed.Lp.WithLp (6.8s)
✔ [2404/2434] Built Mathlib.Data.Real.ConjExponents (7.8s)
✔ [2405/2434] Built Mathlib.Topology.Algebra.Module.Determinant (6.7s)
✔ [2407/2434] Built Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic (17s)
✔ [2408/2434] Built Mathlib.Data.Matrix.Reflection (4.5s)
✔ [2409/2444] Built Mathlib.Analysis.SpecialFunctions.Trigonometric.Inverse (11s)
✔ [2415/2450] Built Mathlib.LinearAlgebra.UnitaryGroup (11s)
✔ [2416/2454] Built Mathlib.Topology.Instances.AddCircle.Defs (19s)
✔ [2417/2465] Built Mathlib.MeasureTheory.OuterMeasure.Defs (2.0s)
✔ [2418/2465] Built Mathlib.MeasureTheory.MeasurableSpace.Defs (5.1s)
✔ [2419/2466] Built Mathlib.Topology.Instances.AddCircle.Real (4.5s)
✔ [2420/2466] Built Mathlib.Order.SetDissipate (3.2s)
✔ [2421/2466] Built Mathlib.MeasureTheory.MeasurableSpace.EventuallyMeasurable (3.2s)
✔ [2422/2466] Built Mathlib.MeasureTheory.OuterMeasure.Basic (5.4s)
✔ [2423/2466] Built Mathlib.MeasureTheory.MeasurableSpace.Instances (3.7s)
✔ [2424/2468] Built Mathlib.Topology.Algebra.Module.FiniteDimension (27s)
✔ [2425/2468] Built Mathlib.MeasureTheory.MeasurableSpace.Basic (3.8s)
